============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run22_multi_weighted_80k.json
Job ID:     163455
Node:       sh20
Extra args: 
Start time: Sun Mar 29 03:45:25 AM CEST 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run22_multi_weighted_80k.json) ==========

Using config file: configs/run22_multi_weighted_80k.json
Run directory: outputs/run_021
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 80000
============================================================
Ep 2200/80000 (2419s) | R: -267.1 | SWAPs: 289 | Gates: 50% | Done: 36% | Loss: 0.013 | Q: -2.4 | ε: 0.884 | Steps: 707795 | ep_time: 1.4s
Ep 2225/80000 (2443s) | R: -261.5 | SWAPs: 286 | Gates: 53% | Done: 40% | Loss: 0.014 | Q: -2.4 | ε: 0.883 | Steps: 714954 | ep_time: 1.4s
Ep 2250/80000 (2467s) | R: -258.1 | SWAPs: 286 | Gates: 55% | Done: 40% | Loss: 0.015 | Q: -2.4 | ε: 0.882 | Steps: 722098 | ep_time: 1.4s
Ep 2275/80000 (2494s) | R: -298.7 | SWAPs: 319 | Gates: 44% | Done: 28% | Loss: 0.015 | Q: -2.4 | ε: 0.881 | Steps: 730083 | ep_time: 1.4s
Ep 2300/80000 (2520s) | R: -296.5 | SWAPs: 316 | Gates: 44% | Done: 28% | Loss: 0.013 | Q: -2.4 | ε: 0.879 | Steps: 737985 | ep_time: 1.4s
Ep 2325/80000 (2549s) | R: -320.8 | SWAPs: 338 | Gates: 39% | Done: 20% | Loss: 0.011 | Q: -2.4 | ε: 0.878 | Steps: 746440 | ep_time: 1.4s
Ep 2350/80000 (2574s) | R: -275.5 | SWAPs: 297 | Gates: 49% | Done: 36% | Loss: 0.015 | Q: -2.5 | ε: 0.877 | Steps: 753877 | ep_time: 0.3s
Ep 2375/80000 (2600s) | R: -292.9 | SWAPs: 313 | Gates: 45% | Done: 28% | Loss: 0.013 | Q: -2.5 | ε: 0.876 | Steps: 761693 | ep_time: 1.4s
Ep 2400/80000 (2627s) | R: -296.7 | SWAPs: 318 | Gates: 44% | Done: 28% | Loss: 0.012 | Q: -2.4 | ε: 0.874 | Steps: 769643 | ep_time: 1.3s
Ep 2425/80000 (2652s) | R: -280.6 | SWAPs: 306 | Gates: 48% | Done: 32% | Loss: 0.013 | Q: -2.5 | ε: 0.873 | Steps: 777282 | ep_time: 1.3s
Ep 2450/80000 (2683s) | R: -351.2 | SWAPs: 365 | Gates: 32% | Done: 12% | Loss: 0.012 | Q: -2.5 | ε: 0.872 | Steps: 786402 | ep_time: 1.3s
Ep 2475/80000 (2713s) | R: -336.1 | SWAPs: 356 | Gates: 37% | Done: 16% | Loss: 0.015 | Q: -2.5 | ε: 0.870 | Steps: 795311 | ep_time: 1.4s
Ep 2500/80000 (2738s) | R: -273.8 | SWAPs: 297 | Gates: 49% | Done: 36% | Loss: 0.011 | Q: -2.5 | ε: 0.869 | Steps: 802746 | ep_time: 1.4s
Ep 2525/80000 (2762s) | R: -260.7 | SWAPs: 287 | Gates: 54% | Done: 40% | Loss: 0.012 | Q: -2.5 | ε: 0.868 | Steps: 809910 | ep_time: 0.4s
Ep 2550/80000 (2791s) | R: -325.6 | SWAPs: 345 | Gates: 39% | Done: 20% | Loss: 0.013 | Q: -2.5 | ε: 0.866 | Steps: 818529 | ep_time: 1.3s
Ep 2575/80000 (2816s) | R: -278.1 | SWAPs: 297 | Gates: 47% | Done: 32% | Loss: 0.013 | Q: -2.5 | ε: 0.865 | Steps: 825944 | ep_time: 0.2s
Ep 2600/80000 (2843s) | R: -307.1 | SWAPs: 328 | Gates: 42% | Done: 24% | Loss: 0.014 | Q: -2.5 | ε: 0.864 | Steps: 834143 | ep_time: 1.3s
Ep 2625/80000 (2870s) | R: -309.1 | SWAPs: 329 | Gates: 42% | Done: 24% | Loss: 0.013 | Q: -2.5 | ε: 0.862 | Steps: 842361 | ep_time: 1.4s
Ep 2650/80000 (2894s) | R: -254.6 | SWAPs: 282 | Gates: 56% | Done: 40% | Loss: 0.013 | Q: -2.5 | ε: 0.861 | Steps: 849415 | ep_time: 1.4s
Ep 2675/80000 (2919s) | R: -276.4 | SWAPs: 299 | Gates: 49% | Done: 32% | Loss: 0.013 | Q: -2.5 | ε: 0.860 | Steps: 856885 | ep_time: 1.4s
Ep 2700/80000 (2944s) | R: -266.9 | SWAPs: 291 | Gates: 51% | Done: 36% | Loss: 0.014 | Q: -2.6 | ε: 0.859 | Steps: 864152 | ep_time: 1.4s
Ep 2725/80000 (2970s) | R: -288.7 | SWAPs: 310 | Gates: 47% | Done: 28% | Loss: 0.014 | Q: -2.6 | ε: 0.858 | Steps: 871892 | ep_time: 1.4s
Ep 2750/80000 (2994s) | R: -254.7 | SWAPs: 283 | Gates: 54% | Done: 40% | Loss: 0.011 | Q: -2.5 | ε: 0.856 | Steps: 878962 | ep_time: 1.4s
Ep 2775/80000 (3019s) | R: -275.4 | SWAPs: 303 | Gates: 50% | Done: 32% | Loss: 0.012 | Q: -2.6 | ε: 0.855 | Steps: 886534 | ep_time: 1.3s
Ep 2800/80000 (3047s) | R: -303.6 | SWAPs: 322 | Gates: 43% | Done: 24% | Loss: 0.013 | Q: -2.6 | ε: 0.854 | Steps: 894575 | ep_time: 1.3s
Ep 2825/80000 (3074s) | R: -306.2 | SWAPs: 328 | Gates: 43% | Done: 24% | Loss: 0.013 | Q: -2.6 | ε: 0.853 | Steps: 902784 | ep_time: 1.3s
Ep 2850/80000 (3103s) | R: -315.6 | SWAPs: 341 | Gates: 43% | Done: 20% | Loss: 0.012 | Q: -2.6 | ε: 0.851 | Steps: 911321 | ep_time: 0.3s
Ep 2875/80000 (3125s) | R: -253.1 | SWAPs: 283 | Gates: 56% | Done: 40% | Loss: 0.013 | Q: -2.6 | ε: 0.850 | Steps: 918399 | ep_time: 1.2s
Ep 2900/80000 (3152s) | R: -306.6 | SWAPs: 329 | Gates: 42% | Done: 24% | Loss: 0.012 | Q: -2.6 | ε: 0.849 | Steps: 926632 | ep_time: 1.4s
Ep 2925/80000 (3176s) | R: -252.4 | SWAPs: 281 | Gates: 55% | Done: 40% | Loss: 0.013 | Q: -2.7 | ε: 0.848 | Steps: 933666 | ep_time: 0.3s
Ep 2950/80000 (3201s) | R: -282.5 | SWAPs: 307 | Gates: 48% | Done: 32% | Loss: 0.011 | Q: -2.7 | ε: 0.846 | Steps: 941339 | ep_time: 1.4s
Ep 2975/80000 (3229s) | R: -305.1 | SWAPs: 328 | Gates: 44% | Done: 24% | Loss: 0.010 | Q: -2.7 | ε: 0.845 | Steps: 949533 | ep_time: 1.4s
Ep 3000/80000 (3253s) | R: -259.9 | SWAPs: 284 | Gates: 54% | Done: 36% | Loss: 0.010 | Q: -2.7 | ε: 0.844 | Steps: 956641 | ep_time: 1.4s

--- Evaluation at episode 3000 ---
  EVAL | Agent: 149.7 SABRE: 75.6 | Ratio: 1.15 | Done: 67%
Saved: outputs/run_021/figures/training_curves.png
Saved: outputs/run_021/figures/eval_comparison_ep3000.png
